epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.21487373,0.15246906061734827,0.15738882,0.15215435017632575
1,0.22088952,0.14999339763295194,0.20043196,0.15179659611422947
2,0.22031215,0.14809444631179772,0.16754882,0.15275003719033933
3,0.22593683,0.14667196635880947,0.16417229,0.1553551782444532
4,0.23370335,0.14504084262031383,0.33725742,0.144888399087825
5,0.23362884,0.1438408568129582,0.25615987,0.14397841909183104
6,0.23955151,0.14269613351550497,0.20201375,0.1451570557628357
7,0.240818,0.141707016858802,0.18348847,0.14902056575495953
8,0.24368621,0.14074993032634875,0.37561598,0.14575459135124819
